arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ ps aux --sort=-%mem | awk 'NR==2 {print $2}'2360
arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ kill -9 2360
arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.3  22928 13884 ?        Ss   19:46   0:01 /sbin/init splash
root          83  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/48-pciehp]
root          84  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/49-pciehp]
root          85  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/50-pciehp]
root          86  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/51-pciehp]
root          87  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/52-pciehp]
root          88  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/53-pciehp]
root          89  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/54-pciehp]
root          90  0.0  0.0      0     0 ?        S    19:46   0:00 [irq/55-pciehp]
root          91  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-acpi_]
root          92  0.1  0.0      0     0 ?        I    19:46   0:01 [kworker/u258:2-events_power_efficient]
root          93  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_0]
root          94  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root          95  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_1]
root          96  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         100  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-mld]
root         101  0.0  0.0      0     0 ?        I    19:46   0:00 [kworker/u258:6-events_power_efficient]
root         102  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-ipv6_]
root         110  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-kstrp]
root         112  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u259:0]
root         113  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u260:0-ttm]
root         114  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/u261:0-ttm]
root         119  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-crypt]
root         129  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-charg]
root         161  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/0:1H]
root         178  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-mpt_p]
root         179  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-mpt/0]
root         180  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_2]
root         181  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
